à,at; in; to; with
essai (n.m.),testing; essay; trial; try
essayer (v.),try
essence (n.f.),petrol (UK); gas (US)
essentiel,essential
essentiellement,essentially; mainly
essor (n.m.),flight; development
essoreuse (n.f.),salad spinner
essuie-glace (n.m.),windscreen wiper
essuyer (v.),wipe
est (n.m.),east
esthétique,aesthetic
esthétique (n.f.),aesthetics
esthétisme (n.m.),aesthetism
estimation (n.f.),estimate
estimer (v.),estimate; guess
estival,summer
estomac (n.m.),stomach
et,and
et demi,and a half
Et Dieu créa la femme,And God Created Woman
établi (n.m.),workbench
établir (v.),establish; set up
établissement (n.m.),institution; establishment
étage (n.m.),storey (UK); story (US); floor; upstairs
étagère (n.f.),shelf
étal (n.m.),stall; butcher's block
étalage (n.m.),display; window display
étaler (v.),display; spread
étape (n.f.),stage; stop
Etat (n.m.),state
état (n.m.),condition; state
état des lieux (n.m.),inventory and inspection of rented property
états généraux (n.m.pl.),the General States
Etats-Unis (n.m.pl.),The United States
étayer (v.),prop up
etc.,etc.; and so on
été (n.m.),summer
éteindre (v.),turn off; switch off
étendre (v.),spread; stretch
étendue (n.f.),area; stretch
éternel,eternal
éternuer (v.),sneeze
Ethiopiques,Ethiopiques
ethnique,ethnic
étiquette (n.f.),tag; label
étirement (n.m.),stretching
Etoile (n.pr.f.),The Etoile
étoile (n.f.),star
étoile de mer (n.f.),starfish
étoile filante (n.f.),shooting star
étonnamment,amazingly
étonnant,amazing; surprising
étonné,surprised; astonished
étonner (v.),surprise; astonish
étouffant,stifling
étourderie (n.f.),absent-mindedness; careless mistake
étourdi,mindless; clumsy; dizzy
étrange,odd; strange
étranger (n.m.),abroad; stranger; foreigner
étranger,foreign; unfamiliar; unknown
être (n.m.),being; living  beings
être (v.),be
être à,belong
être à cheval sur,be a stickler for
être à disposition,at the disposal of; available to
être à la hauteur de,be up to something
être au complet,be full
être certain de,be certain; be sure of something
être certain que,be certain (that); be sure (that)
être d'accord,agree
être dans les nuages,have one's head in the clouds
être de rigueur,be obligatory
être de taille,be capable of doing something
être débordant de,be full of; be overflowing with
être désolé,be sorry
être en circulation,be on the market
être en état de marche,in working order
être en forme,be in shape; be on (top) form
être en ligne,be on line
être en mesure de,be able to; be in a position to
être en règle,be in order
être en train de,be + v.-ing
être fait pour,be made for; be meant for
être hors de soi,be beside oneself
être humain (n.m.),human being
être le bienvenu,be welcome
être l'occasion,give rise to
être logé à la même enseigne,be in the same boat
être pieds nus,be barefoot
être pressé,be in a hurry; be urgent
être sur la brèche,be hard at it
être sur le point de,be on the point of doing something; be about to do
être synonyme de,be synonymous with
être tiré à quatre épingles,be dressed up to the nines
étroit,tight; narrow; restricted
étude (n.f.),study
études supérieures (n.f.pl.),higher education
étudiant (n.m.),student
étudier (v.),study
euh,er
Euro 2000,European football championship; Euro 2000
euro (n.m.),euro
Europe (n.pr.f.),Europe
européen,European
Eurostar (n.pr.m.),Eurostar
eux,them; they
eux-mêmes,themselves
évaluation (n.f.),evaluation; assessment
évaluer (v.),estimate; assess; value
évanouissement (n.m.),fainting; fix
évasion (n.f.),escape; escapism
éveiller (v.),arouse; awaken
événement (n.m.),event
éventualité (n.f.),possibility; eventuality
éventuel,possible
éventuellement,possibly
évêque (n.m.),bishop
évident,obvious
évier (n.m.),sink
éviter (v.),avoid; prevent from
évoluer (v.),evolve
évolution (n.f.),evolution
évoquer (v.),evoke
exact,exact; right; correct
exactement,exactly
exactitude (n.f.),exactness; accuracy; correctness
exagérer (v.),exaggerate
exaltant,exhilarating; thrilling
examen (n.m.),examination; exam
examiner (v.),look at; examine
exaspération (n.f.),exasperation
exaucer (v.),fulfil; grant
excellent,excellent
excepté,except
exception (n.f.),exception
exceptionnel,exceptional; unusual
exceptionnellement,exceptionally
excès (n.m.),excess; surplus
excessif,excessive
excessivement,excessively
excitant,exciting
exclure (v.),exclude
exclusif,exclusive
exclusivité (n.f.),exclusivity
excursion (n.f.),expedition; walk; excursion
excuse (n.f.),excuse
excuser (v.),excuse; pardon
exécuter (v.),execute; perform; carry out
exécution (n.f.),execution; accomplishment
exemplaire (n.m.),copy; duplicate
exemple (n.m.),example
exercer (v.),carry on; exercise
exercice (n.m.),exercise
exigeant,demanding
exigence (n.f.),demand; requirement
exiger (v.),demand
exigu,cramped; narrow; confined
existant,existing
existence (n.f.),existence
existentialisme (n.m.),existentialism
exister (v.),exist; be
exotique,exotic
expansif,communicative; outgoing
expansion (n.f.),growth; expansion
expédier (v.),send
expéditeur (n.m.),sender; dispatching
expédition (n.f.),expedition; shipping department
expérience (n.f.),experience
expert-comptable (n.m.),chartered accountant (UK); certified public (US)
expiration (n.f.),deadline; expiry; exhalation
explication (n.f.),explanation
expliquer (v.),explain
exploit (n.m.),exploit; feat
exploitant (n.m.),farmer; exhibitor; manager
exploitation (n.f.),business concern; industrial concern
exploration (n.f.),exploration; investigation
explorer (v.),explore; investigate
explosif,explosive
explosion (n.f.),explosion
export (n.m.),export
exportation (n.f.),export
exposant (n.m.),exhibitor
exposer (v.),expose; exhibit
exposition (n.f.),exhibition; trade fair
Exposition universelle (n.pr.f.),World Exhibition
express (n.m.),express
expressif,expressive
expression (n.f.),expression; face
expresso (n.m.),espresso
exprimer (v.),express; show
exquis,exquisite
exténuer (v.),exhaust
extérieur,outside; outward
extérieur (n.m.),outside; outward
extinction (n.f.),switching off
extra-large,extra-large
extraction (n.f.),extraction; mining
extraire (v.),extract
extraordinaire,extraordinary
extrême,extreme; furthest
extrêmement,extremely
extrémiste,extremist
fable,fable; legend; tale; story
fabricant (n.m.),manufacturer
fabrication (n.f.),manufacture
fabrique (n.f.),factory; manufacturer
fabriquer (v.),make; create; build
fabuleux,fabulous
façade (n.f.),façade
face (n.f.),face; side
face à,facing; faced with
fâché,upset; angry
fâcher (v.),anger; make angry; annoy
fâcheux,regrettable; unfortunate
facile,easy
facilement,easily
facilité (n.f.),ease; aptitude; talent
faciliter (v.),improve; make easy
façon (n.f.),way
la façon dont,way
facteur (n.m.),postman (UK); mailman (US); factor
facture (n.f.),invoice; bill
facture pro forma (n.f.),pro forma invoice
facturer (v.),charge; invoice
faible,weak; faint; low; small
faiblesse (n.f.),weakness
faillir (v.),be about to
faim (n.f.),hunger
faire (v.),do; make
faire appel à,appeal to; call for; call on
faire attention,mind; watch out; be careful
faire carrière,pursue a career
faire confiance,trust
faire confiance à,trust sb
faire de beaux rêves,have sweet dreams
faire défaut,be lacking; be missing
faire des provisions,stock up on food; lay in stocks of food
faire du cheval,ride a horse
faire du mal,hurt
faire du près,beat up to windward
faire du ski,ski
faire du ski nautique,go water-skiing
faire du tort à,harm sb; harm sth
faire erreur,be mistaken; be wrong
faire faillite,go bankrupt
faire la course,race
faire la fête,have fun; have a party
faire la grève,strike; go on strike
faire l'admiration de qqn,be admired by sb
faire l'affaire,do nicely; be convenient; be suitable; do the trick
faire le nécessaire,do the necessary; do what is necessary
faire le plein,fill up
faire l'effet de,seem like
faire les boutiques,go shopping; go round the shops (UK)
faire les magasins,go shopping
faire les poches,pick sb's pockets
faire l'objet de,be the subject of
faire mal,hurt
faire mieux de,do better
faire opposition à,stop a payment; object to
faire part de,tell
faire partie,be a member of; belong to
faire peur,scare
faire plaisir,please
faire preuve,show
faire référence à,refer to
faire scandale,make a scene
faire semblant,pretend
faire sensation,cause a sensation
faire ses bagages,pack
faire ses preuves,prove
faire un prix,give a special price
faire un scandale,make a scene
faire un tour,walk around; have a ride
faire une balade,stroll; go for a walk
faire une montagne de,make a great song and dance of
faire une queue de poisson,cut in
faisable,feasible
fait (n.m.),fact; act
fait,composed
falaise (n.f.),cliff
falloir (v.),need
falsifier (v.),falsify; forge
fameux,famous
familial,family
familiariser (v.),familiar
familier,familiar
famille (n.f.),family
fan (n.m.),fan
fan-club (n.m.),fan club
fanfare (n.f.),fanfare
fantaisie (n.f.),imaginativeness; fancy; fantasy
fantastique,fantastic
fantôme (n.m.),ghost
farandole (n.f.),farandole
farce (n.f.),joke; stuffing; forcemeat
farceur (n.m.),practical joker
farine (n.f.),flour
fascinant,fascinating
fasciner (v.),fascinate
fastidieux,tedious; tiresome; boring
fatal,fatal
fatigant,tiring
fatigue (n.f.),fatigue; tiredness
fatigué,tired; weary
fatiguer (v.),tire; strain
faucon (n.m.),hawk
faune (n.f.),wildlife; fauna
faute (n.f.),fault; mistake
faute de,in absence of; for lack of
faute de frappe (n.f.),typing error; keying error
fauteuil (n.m.),armchair; seat
faux,wrong; false
faux (n.m.),wrong; false; forgery
faux-filet (n.m.),sirloin
favorablement,favourably
favori,favourite
favoriser (v.),favour (UK); favor (US); prefer
favorite (n.f.),favourite
fax (n.m.),fax
faxer (v.),fax
féculent (n.m.),starchy food
fée (n.f.),fairy
féerique,magical; fairy
feindre (v.),feign; pretend
félicitations (n.f.pl.),congratulations
féliciter (v.),congratulate
felouque (n.f.),felucca
femme (n.f.),woman; wife
femme de chambre (n.f.),chambermaid (UK); maid (US)
femme de ménage (n.f.),cleaning lady
fenêtre (n.f.),window
fenouil (n.m.),fennel
fente (n.f.),crack; slit; groove
fer (n.m.),iron
fer à repasser (n.m.),iron
ferme,firm; stiff
ferme (n.f.),farm
fermé,closed; shut; locked
fermement,firmly
fermer (v.),close; shut; lock
fermeture (n.f.),closing; shutdown
fermeture éclair (n.f.),zip (UK); zipper (US)
fermier (n.m.),farmer
ferry (n.m.),ferry
fest-noz (n.m.),Breton festival
festin (n.m.),feast
festival (n.m.),festival; fair
festival de Cannes (n.m.),The Cannes film festival
festivités (n.f.pl.),festivities
fête (n.f.),celebration; party
fête de la bière (n.f.),Oktoberfest
fête de la Fédération (n.f.),Federation Day
fête de la Musique (n.f.),The Music Festival
fête des Lumières (n.f.),festival of light
fête nationale (n.f.),national holiday
fêter (v.),celebrate
fêtes de fin d'année (n.f. pl.),Christmas and New Year celebrations
feu (n.m.) [élément],fire
feu (n.m.) [signalisation],traffic light(s)
feu d'artifice (n.m.),fireworks
feu de détresse (n.m.),warning lights; hazard lights
feu de signalisation (n.m.),traffic light
feu de stop (n.m.),brake light
feu rouge (n.m.),red traffic light
feu stop (n.m.),brake light
feu tricolore (n.m.),traffic light(s)
feuillage (n.m.),foliage
feuille (n.f.),sheet; leaf
feuilleter (v.),leaf through
fève (n.f.),broad bean
février (n.m.),February
fiabilité (n.f.),reliability
fiable,reliable
fiancé (n.m.),fiancé
fibre (n.f.),fibre
ficelle (n.f.),string; thin French breadstick
fiche (n.f.),card; sheet; slip; pin
fiche signalétique (n.f.),identification sheet
fichier (n.m.),file
fidèle,faithful; loyal
fier,proud
fièvre (n.f.),fever; temperature
figue (n.f.),fig
figure (n.f.),figure; face
figurer (v.),figure; represent; appear
figurine (n.f.),figurine
fil (n.m.),thread; linen
file (n.f.),column; line
file d’attente (n.f.),queue (UK); line (US)
filer (v.),fly; dash
filet (n.m.),net
filet de pêche (n.m.),fishing net
fille (n.f.),girl; daughter
fillette (n.f.),little girl
film (n.m.),film (UK); movie (US)
filmer (v.),film
fils (n.m.),son
filtrage (n.m.),filtering
filtrer (v.),screen; filter; leak out; filter through
fin,fine; thin; shrewd
fin (n.f.) [terme],end
fin (n.f.) [but],aim
final,final
finalement,finally; after all
finaliser (v.),finalize
finance (n.f.),finance
financement (n.m.),financing
financer (v.),finance
financier,financial
finement,finely; cleverly; subtly
fines herbes (n.f.pl.),fines herbs
fini,finished; over; no more
finir (v.),finish; end
Finlande (n.pr.f.),Finland
fiscalement,fiscally
fitness (n.m.),fitness
fixation (n.f.),binding; fixation; fixing
fixe,fixed
fixer (v.),fix; fasten; arrange
flacon (n.m.),small bottle; deconter
flambé,flambé
flambeau (n.m.),torch
flamme (n.f.),flame
flan (n.m.),custard tart
flâner (v.),stroll; lounge about
flatteur,flattering
flèche (n.f.),arrow
fleur (n.f.),flower
fleur d'oranger (n.f.),orange blossom
fleuri,in flower; flowered; decorated with flowers
fleuriste (n.m.),florist
fleuve (n.m.),river
flexibilité (n.f.),flexibility
flocon (n.m.),flake
floral,floral
flore (n.f.),flora
Florence (n.pr.),Florence
floriculture (n.f.),floriculture
flotter (v.),float
fluide,smooth; light; fluid
fluorescent,fluorescent
flûte (n.f.) [instrument],flute
flûte (n.f.) [verre],flute
flûte traversière (n.f.),transverse flute
flux (n.m.),flow; flood tide; flux
foc (n.m.),jib
foie gras (n.m.),foie gras
foin (n.m.),hay
foire (n.f.),fair; market
fois (n.f.),time
foncier,land
fonction (n.f.),function
fonctionnaire (double genre),civil servant; government official
fonctionnalité (n.f.),function
fonctionnel,practical; functional
fonctionnement (n.m.),functioning; running
fonctionner (v.),work; run
fond (n.m.),bottom; back; bed
fond de teint (n.m.),make-up foundation
fondant,fondant; melting
fonder (v.),found; base
fonder de grands espoirs sur,pin one's hopes on sb
fondre (v.),melt (away); dissolve
fonds (n.m.),funds; capital
fondu,melted
fondue savoyarde (n.f.),cheese fondue
fontaine (n.f.),fountain
foot (n.m.),football (UK); soccer (US)
football (n.m.),football (UK); soccer (US)
football américain (n.m.),American football (UK); football (US)
footballeur (n.m.),football player (UK); soccer player (US)
force (n.f.),strength
forcer (v.),force; compel; command; strain
forêt (n.f.),forest
forêt amazonienne (n.f.),the Amazon rain forest
forêt-noire (n.f.),Black Forest
forfait (n.m.),pass; fixed rate
formalité (n.f.),formality
formation (n.f.),development; training
forme (n.f.),shape; form; be fit
formel,formal
former (v.),form; train; develop
formidable,fabulous; great
formulaire (n.m.),form
formule (n.f.),formula; phrase; form; package
fort,hard; very; extremely
